batsman,total_runs,balls_faced,dismissals,innings,fours,sixes,strike_rate,batting_avg
SK Raina,4473,3215,126,156,397,170,139.13,35.5
V Kohli,4238,3318,116,139,367,148,127.73,36.53
G Gambhir,4104,3287,128,145,482,57,124.86,32.06
RG Sharma,3976,3133,124,153,338,151,126.91,32.06
DA Warner,3797,2686,99,111,377,152,141.36,38.35
RV Uthappa,3697,2832,129,142,372,120,130.54,28.66
CH Gayle,3541,2355,87,99,290,255,150.36,40.7
S Dhawan,3504,2871,104,123,396,69,122.05,33.69
AB de Villiers,3359,2293,79,117,279,148,146.49,42.52
MS Dhoni,3125,2415,82,142,218,123,129.4,38.11
AM Rahane,3001,2505,85,105,311,59,119.8,35.31
YK Pathan,2832,1930,86,131,234,145,146.74,32.93
KD Karthik,2769,2233,112,131,272,64,124.0,24.72
V Sehwag,2728,1755,98,104,334,106,155.44,27.84
BB McCullum,2679,2057,98,102,269,120,130.24,27.34
SR Watson,2599,1873,82,95,257,121,138.76,31.7
M Vijay,2502,2030,89,99,237,88,123.25,28.11
SE Marsh,2466,1860,63,69,268,76,132.58,39.14
JH Kallis,2399,2208,86,95,251,43,108.65,27.9
Yuvraj Singh,2378,1861,89,113,185,125,127.78,26.72
DR Smith,2362,1752,78,87,242,116,134.82,30.28
AT Rayudu,2359,1879,82,103,197,78,125.55,28.77
PA Patel,2318,1975,106,115,297,35,117.37,21.87
SR Tendulkar,2298,1934,70,78,292,27,118.82,32.83
KA Pollard,2133,1494,71,109,145,130,142.77,30.04
R Dravid,2132,1863,74,81,266,24,114.44,28.81
MK Pandey,2124,1794,73,94,188,60,118.39,29.1
AC Gilchrist,2053,1489,75,80,237,91,137.88,27.37
MEK Hussey,1952,1600,51,58,197,50,122.0,38.27
JP Duminy,1825,1519,45,72,116,65,120.14,40.56
DPMD Jayawardene,1766,1443,64,78,196,38,122.38,27.59
KC Sangakkara,1666,1384,68,67,192,26,120.38,24.5
SPD Smith,1621,1254,45,61,144,38,129.27,36.02
RA Jadeja,1608,1329,67,102,120,51,120.99,24.0
AJ Finch,1529,1187,57,63,162,56,128.81,26.82
MK Tiwary,1502,1323,48,74,136,33,113.53,31.29
NV Ojha,1458,1242,63,87,115,74,117.39,23.14
WP Saha,1453,1131,58,74,124,51,128.47,25.05
DA Miller,1441,1057,44,63,98,66,136.33,32.75
SV Samson,1413,1138,54,61,110,57,124.17,26.17
SC Ganguly,1333,1253,52,56,137,40,106.38,25.63
S Badrinath,1325,1157,44,57,144,22,114.52,30.11
DJ Hussey,1302,1059,47,60,89,59,122.95,27.7
F du Plessis,1291,1007,38,46,110,38,128.2,33.97
BJ Hodge,1269,1061,41,63,110,35,119.6,30.95
GJ Maxwell,1228,747,50,55,96,82,164.39,24.56
SS Tiwary,1193,1021,41,62,87,41,116.85,29.1
KK Nair,1149,908,46,50,133,26,126.54,24.98
TM Dilshan,1122,992,40,50,137,23,113.1,28.05
Mandeep Singh,1110,916,56,58,134,18,121.18,19.82
ML Hayden,1107,806,28,32,121,44,137.34,39.54
DJ Bravo,1088,918,48,74,92,36,118.52,22.67
LMP Simmons,1079,851,26,29,109,44,126.79,41.5
LRPL Taylor,1000,811,40,54,65,45,123.3,25.0
IK Pathan,999,868,42,73,74,31,115.09,23.79
KP Pietersen,976,733,29,36,88,39,133.15,33.66
M Vohra,950,719,38,41,95,34,132.13,25.0
A Symonds,950,730,25,36,73,40,130.14,38.0
Y Venugopal Rao,946,812,38,51,73,36,116.5,24.89
CL White,924,735,32,44,73,35,125.71,28.88
HH Gibbs,877,802,32,36,83,30,109.35,27.41
MC Henriques,871,695,30,46,77,24,125.32,29.03
EJG Morgan,846,695,37,45,72,34,121.73,22.86
JA Morkel,832,604,28,61,48,48,137.75,29.71
SS Iyer,805,624,29,32,79,32,129.01,27.76
MS Bisla,798,702,37,39,93,23,113.68,21.57
MA Agarwal,790,654,47,48,80,31,120.8,16.81
KM Jadhav,777,602,32,54,63,25,129.07,24.28
ST Jayasuriya,768,532,29,30,84,39,144.36,26.48
GC Smith,738,667,30,29,94,9,110.64,24.6
Q de Kock,726,549,25,26,90,21,132.24,29.04
KL Rahul,690,552,23,27,57,23,125.0,30.0
STR Binny,688,554,30,52,54,25,124.19,22.93
AD Mathews,670,530,22,39,38,28,126.42,30.45
TL Suman,648,554,30,39,53,25,116.97,21.6
AM Nayar,624,548,36,48,48,19,113.87,17.33
GJ Bailey,617,524,24,36,55,15,117.75,25.71
Harbhajan Singh,614,454,33,67,62,26,135.24,18.61
JD Ryder,603,456,28,29,69,19,132.24,21.54
RR Pant,557,368,19,24,46,30,151.36,29.32
HM Amla,552,397,11,16,59,18,139.04,50.18
AR Patel,545,437,24,39,31,25,124.71,22.71
AD Russell,543,313,17,25,44,36,173.48,31.94
SA Yadav,540,426,28,36,45,20,126.76,19.29
JC Buttler,518,358,20,24,49,25,144.69,25.9
RS Bopara,510,441,18,22,37,15,115.65,28.33
PC Valthaty,505,418,22,23,61,20,120.81,22.95
Shakib Al Hasan,474,362,21,29,43,14,130.94,22.57
OA Shah,470,360,8,20,33,22,130.56,58.75
CJ Anderson,462,384,18,26,37,24,120.31,25.67
M Manhas,455,436,20,36,38,7,104.36,22.75
KH Pandya,451,287,11,18,45,18,157.14,41.0
N Rana,437,339,15,15,31,25,128.91,29.13
JP Faulkner,431,339,23,40,28,19,127.14,18.74
SA Asnodkar,423,339,19,19,56,10,124.78,22.26
JR Hopes,406,302,17,19,48,10,134.44,23.88
NLTC Perera,401,287,22,29,22,25,139.72,18.23
AL Menaria,399,353,21,22,24,18,113.03,19.0
RA Tripathi,391,267,12,14,43,17,146.44,32.58
CA Pujara,390,390,17,21,50,4,100.0,22.94
KS Williamson,387,307,12,15,33,10,126.06,32.25
PP Chawla,382,377,30,56,29,12,101.33,12.73
Azhar Mahmood,381,301,19,21,39,12,126.58,20.05
CA Lynn,377,238,10,12,31,23,158.4,37.7
J Botha,373,339,19,25,33,5,110.03,19.63
DT Christian,371,317,17,29,18,15,117.03,21.82
S Sohal,368,292,18,20,34,18,126.03,20.44
LR Shukla,357,327,25,32,26,14,109.17,14.28
DB Ravi Teja,345,296,17,24,32,9,116.55,20.29
AP Tare,337,269,23,26,40,11,125.28,14.65
MV Boucher,330,282,13,22,27,9,117.02,25.38
DJ Hooda,325,232,19,27,19,16,140.09,17.11
CH Morris,319,209,9,27,23,17,152.63,35.44
Ishan Kishan,317,243,12,13,34,13,130.45,26.42
HH Pandya,316,246,15,31,18,20,128.46,21.07
BA Stokes,311,218,11,11,21,15,142.66,28.27
Gurkeerat Singh,308,259,18,22,33,6,118.92,17.11
UBT Chand,300,300,20,20,32,9,100.0,15.0
JEC Franklin,297,289,11,16,19,9,102.77,27.0
DB Das,288,248,11,21,21,16,116.13,26.18
P Negi,288,236,15,28,19,14,122.03,19.2
VVS Laxman,282,267,16,20,33,5,105.62,17.62
RN ten Doeschate,278,213,15,21,22,11,130.52,18.53
LA Pomersbach,277,236,10,15,23,11,117.37,27.7
DJG Sammy,275,230,13,20,15,16,119.57,21.15
GH Vihari,273,305,16,20,23,1,89.51,17.06
Y Nagar,265,243,10,18,19,7,109.05,26.5
KV Sharma,262,229,16,27,15,13,114.41,16.38
P Kumar,261,232,19,47,17,15,112.5,13.74
B Chipli,260,240,16,21,26,7,108.33,16.25
M Kaif,257,247,15,22,22,6,104.05,17.13
R Bhatia,256,239,21,37,15,10,107.11,12.19
R Sathish,252,211,13,21,22,6,119.43,19.38
A Mishra,247,299,20,39,16,3,82.61,12.35
MD Mishra,237,208,15,17,24,8,113.94,15.8
SP Goswami,233,244,14,15,26,2,95.49,16.64
R Vinay Kumar,229,222,16,28,14,5,103.15,14.31
K Goel,216,226,14,16,17,9,95.58,15.43
AA Jhunjhunwala,206,204,13,14,17,5,100.98,15.85
R Ashwin,162,201,16,28,12,1,80.6,10.12
